Tweet id,Tweet permalink,Tweet text,time,impressions,engagements,engagement rate,retweets,replies,likes,Total,user profile clicks,url clicks,hashtag clicks,detail expands,permalink clicks,app opens,app installs,follows,email tweet,dial phone,media views,media engagements,promoted impressions,promoted engagements,promoted engagement rate,promoted retweets,promoted replies,promoted likes,promoted user profile clicks,promoted url clicks,promoted hashtag clicks,promoted detail expands,promoted permalink clicks,promoted app opens,promoted app installs,promoted follows,promoted email tweet,promoted dial phone,promoted media views,promoted media engagements
8.06E+17,https://twitter.com/Ronnie2K/status/806185495948509184,2 on 2 in MyPARK: Would you rather it be winners out (keep the ball if you score) or losers out (score changes possession)?,2016-12-06 17:16 +0000,268937,81373,0.302572721,607,1786,767,3160,4237,0,0,38558,8,0,0,36,0,0,2,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
8.06E+17,https://twitter.com/Ronnie2K/status/806006223648661504,Tune in alert: Klay w/ 60 points with 14 minutes left. Feeling like a moments card may be in order @NBA2K_MyTEAM,2016-12-06 05:23 +0000,179124,2914,0.01626806,85,69,403,557,890,0,0,1467,0,0,0,0,0,0,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
8.07E+17,https://twitter.com/Ronnie2K/status/807355024154079233,That's sick! https://t.co/vdCK51whBh,2016-12-09 22:43 +0000,180066,4254,0.023624671,106,143,302,551,464,32,0,3198,5,0,0,4,0,0,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
8.04E+17,https://twitter.com/Ronnie2K/status/804041334268928000,Very excite about this! https://t.co/D56kSZMk1U,2016-11-30 19:16 +0000,166465,2686,0.016135524,320,52,171,543,482,23,0,1637,1,0,0,0,0,0,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
8.06E+17,https://twitter.com/Ronnie2K/status/806194741700218880,How about 60 points on 11 dribbles? https://t.co/wqx2PAPuwZ,2016-12-06 17:52 +0000,192067,3247,0.016905559,119,35,334,488,386,42,0,2325,5,0,0,1,0,0,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
8.05E+17,https://twitter.com/Ronnie2K/status/804508229979934720,Get your dominating #LockerCodes https://t.co/7AQqFQJLtL,2016-12-02 02:11 +0000,189871,5724,0.030146784,83,41,252,376,752,75,1112,3406,2,0,0,1,0,0,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
8.07E+17,https://twitter.com/Ronnie2K/status/807315437612433408,Dew NBA 3X this weekend @MountainDew https://t.co/ryBc8sS1rJ,2016-12-09 20:06 +0000,164227,3076,0.018730172,75,95,204,374,487,28,0,2185,2,0,0,0,0,0,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
8.06E+17,https://twitter.com/Ronnie2K/status/806020305848147968,Straight ðŸ”¥ðŸ”¥ðŸ”¥ https://t.co/3po9NMyqVE,2016-12-06 06:19 +0000,157393,1662,0.010559555,49,23,235,307,266,20,0,1066,3,0,0,0,0,0,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
8.04E+17,https://twitter.com/Ronnie2K/status/804101717759401984,So glad to hear my bro https://t.co/yMoqAKeNbJ,2016-11-30 23:16 +0000,149311,1598,0.010702493,26,31,196,253,363,20,0,962,0,0,0,0,0,0,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
8.06E+17,https://twitter.com/Ronnie2K/status/806223450972962816,Excited to be back with y'all on #NBA2KCast in 4 hours!,2016-12-06 19:47 +0000,167478,1930,0.011523902,14,50,183,247,633,0,155,895,0,0,0,0,0,0,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
8.04E+17,https://twitter.com/Ronnie2K/status/804030939030429696,Yes sir! https://t.co/EH5zAX610E,2016-11-30 18:34 +0000,130607,2031,0.015550468,33,52,158,243,373,60,0,1355,0,0,0,0,0,0,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
8.07E+17,https://twitter.com/Ronnie2K/status/806544295729635328,JW! https://t.co/IX538HfyPv,2016-12-07 17:01 +0000,155192,1748,0.011263467,27,37,174,238,462,24,0,1020,4,0,0,0,0,0,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
8.05E+17,https://twitter.com/Ronnie2K/status/804777071532572672,Who's loving VR? https://t.co/wgouEre5sz,2016-12-02 19:59 +0000,185840,2330,0.012537667,19,123,82,224,328,15,0,1760,1,0,0,2,0,0,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
8.07E+17,https://twitter.com/Ronnie2K/status/806918485217406977,Promoting an active lifestyle &amp; getting in-game rewards! https://t.co/wqMYRtvFYM,2016-12-08 17:48 +0000,167343,1565,0.009352049,22,51,97,170,383,53,0,957,2,0,0,0,0,0,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
8.06E+17,https://twitter.com/Ronnie2K/status/806327389848354816,Don't miss a brand new never before seen episode of #SweetVicious tonight at 10/9c on @MTV with @BrandonSmithCEO. It gets wild!!,2016-12-07 02:40 +0000,169009,2385,0.014111675,4,46,99,149,1063,0,125,1047,0,0,0,0,0,0,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
8.06E+17,https://twitter.com/Ronnie2K/status/805846285697716225,Nice job on 2K cards! https://t.co/4GPaDpdmXd,2016-12-05 18:48 +0000,158458,1552,0.009794393,9,26,101,136,356,38,0,1021,1,0,0,0,0,0,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
8.04E+17,https://twitter.com/Ronnie2K/status/804380128058839040,Atta boy KAT https://t.co/yfoBfhOWjD,2016-12-01 17:42 +0000,108788,1334,0.012262382,15,14,107,136,220,15,0,960,3,0,0,0,0,0,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
8.06E+17,https://twitter.com/Ronnie2K/status/806286840734941184,#NBA2KCast back after hiatus &amp; LIVE NOW https://t.co/73F4GDTukq,2016-12-06 23:58 +0000,147553,4035,0.027346106,11,48,61,120,511,1832,85,1486,1,0,0,0,0,0,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
8.06E+17,https://twitter.com/Ronnie2K/status/806174978819256320,Where you at Europe? https://t.co/L2BoHIYaxl,2016-12-06 16:34 +0000,158764,971,0.006115996,3,23,49,75,178,14,0,702,2,0,0,0,0,0,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
8.04E+17,https://twitter.com/Ronnie2K/status/804032174269706240,Awesome HB @hbarnes! https://t.co/eop6M9vxGC,2016-11-30 18:39 +0000,118001,871,0.007381293,8,12,54,74,201,12,0,583,0,0,0,1,0,0,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
8.04E+17,https://twitter.com/Ronnie2K/status/804461006743187457,@DennisMike93 I just DMed you some Locker Codes to give to your fans for your great game the other night.,2016-12-01 23:03 +0000,65307,4124,0.063147901,7,13,36,56,748,0,0,3320,0,0,0,0,0,0,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
